IP,Utilizado,Utilizado por,Título,HostName,Categoría Host,Ping,Red,Ubicación,Comment,Cliente,Tarjeta,Módulos,Module_item_id,Acciones
10.50.10.1,Si,Cliente 000501,GATEWAY,GATEWAY,Customer,TimeOut,36,SECTOR 2 10.20.10.2,,983,0,,0,
10.50.10.2,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.3,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.4,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.5,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.6,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.7,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.8,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.9,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.10,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.11,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.12,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.13,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.14,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.15,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.16,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.17,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.18,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.19,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.20,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.21,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.22,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.23,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.24,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.25,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.26,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.27,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.28,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.29,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.30,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.31,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.32,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.33,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.34,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.35,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.36,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.37,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.38,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.39,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.40,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.41,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.42,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.43,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.44,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.45,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.46,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.47,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.48,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.49,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.50,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.51,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.52,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.53,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.54,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.55,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.56,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.57,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.58,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.59,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.60,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.61,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.62,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.63,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.64,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.65,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.66,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.67,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.68,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.69,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.70,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.71,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.72,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.73,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.74,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.75,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.76,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.77,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.78,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.79,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.80,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.81,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.82,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.83,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.84,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.85,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.86,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.87,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.88,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.89,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.90,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.91,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.92,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.93,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.94,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.95,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.96,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.97,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.98,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.99,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.100,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.101,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.102,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.103,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.104,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.105,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.106,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.107,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.108,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.109,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.110,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.111,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.112,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.113,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.114,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.115,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.116,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.117,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.118,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.119,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.120,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.121,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.122,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.123,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.124,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.125,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.126,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.127,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.128,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.129,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.130,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.131,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.132,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.133,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.134,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.135,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.136,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.137,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.138,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.139,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.140,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.141,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.142,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.143,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.144,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.145,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.146,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.147,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.148,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.149,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.150,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.151,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.152,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.153,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.154,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.155,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.156,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.157,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.158,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.159,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.160,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.161,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.162,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.163,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.164,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.165,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.166,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.167,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.168,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.169,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.170,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.171,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.172,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.173,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.174,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.175,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.176,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.177,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.178,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.179,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.180,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.181,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.182,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.183,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.184,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.185,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.186,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.187,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.188,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.189,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.190,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.191,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.192,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.193,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.194,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.195,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.196,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.197,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.198,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.199,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.200,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.201,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.202,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.203,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.204,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.205,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.206,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.207,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.208,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.209,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.210,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.211,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.212,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.213,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.214,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.215,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.216,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.217,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.218,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.219,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.220,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.221,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.222,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.223,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.224,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.225,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.226,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.227,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.228,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
10.50.10.229,No,---,,,Todo,TimeOut,36,Todo,,0,0,,0,
