IP,Utilizado,Utilizado por,Título,HostName,Categoría Host,Ping,Red,Ubicación,Comment,Cliente,Tarjeta,Módulos,Module_item_id,Acciones
10.205.3.1,Si,---,GATEWAY,GATEWAY,Access point,Desconocido,21,SECTOR 3 AC 10.20.10.3,,0,0,,0,
10.205.3.2,Si,Servicios (internet) 000668 000668,,,Customer,Desconocido,21,Todo,,668,0,,0,
10.205.3.3,Si,Servicios (internet) 000687 000687,,,Customer,Desconocido,21,Todo,,687,0,,0,
10.205.3.4,Si,Servicios (internet) 000648 000648,,,Customer,Desconocido,21,Todo,,648,0,,0,
10.205.3.5,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.6,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.7,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.8,Si,Servicios (internet) 000707 000707,,,Customer,Desconocido,21,Todo,,707,0,,0,
10.205.3.9,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.10,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.11,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.12,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.13,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.14,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.15,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.16,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.17,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.18,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.19,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.20,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.21,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.22,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.23,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.24,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.25,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.26,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.27,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.28,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.29,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.30,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.31,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.32,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.33,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.34,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.35,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.36,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.37,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.38,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.39,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.40,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.41,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.42,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.43,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.44,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.45,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.46,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.47,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.48,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.49,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.50,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.51,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.52,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.53,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.54,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.55,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.56,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.57,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.58,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.59,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.60,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.61,No,---,,,Todo,Desconocido,21,Todo,,0,0,,0,
10.205.3.62,Si,---,BROADCAST,BROADCAST,Access point,Desconocido,21,SECTOR 3 AC 10.20.10.3,,0,0,,0,
